poll_info,year,state,poll_id,pollster,start_date,end_date,sample_subpopulation,sample_size,mode,partisanship,partisan_affiliation,days_to_election,poll_key,candidate,pct,party_group
2012-maryland-president-romney-vs-obama,2012,maryland,16429,Baltimore Sun/OpinionWorks,2012-10-20,2012-10-23,Likely Voters,801,Live Phone,Nonpartisan,None,14,2012_16429_maryland,Romney,36,Republican
2012-maryland-president-romney-vs-obama,2012,maryland,16429,Baltimore Sun/OpinionWorks,2012-10-20,2012-10-23,Likely Voters,801,Live Phone,Nonpartisan,None,14,2012_16429_maryland,Undecided,8,Undecided
2012-maryland-president-romney-vs-obama,2012,maryland,16429,Baltimore Sun/OpinionWorks,2012-10-20,2012-10-23,Likely Voters,801,Live Phone,Nonpartisan,None,14,2012_16429_maryland,Other,NA,Other
2012-maryland-president-romney-vs-obama,2012,maryland,16062,Washington Post,2012-10-11,2012-10-15,Likely Voters,843,Live Phone,Nonpartisan,None,22,2012_16062_maryland,Obama,60,Democrat
2012-maryland-president-romney-vs-obama,2012,maryland,16062,Washington Post,2012-10-11,2012-10-15,Likely Voters,843,Live Phone,Nonpartisan,None,22,2012_16062_maryland,Romney,36,Republican
2012-maryland-president-romney-vs-obama,2012,maryland,16062,Washington Post,2012-10-11,2012-10-15,Likely Voters,843,Live Phone,Nonpartisan,None,22,2012_16062_maryland,Undecided,2,Undecided
2012-maryland-president-romney-vs-obama,2012,maryland,16062,Washington Post,2012-10-11,2012-10-15,Likely Voters,843,Live Phone,Nonpartisan,None,22,2012_16062_maryland,Other,2,Other
2012-maryland-president-romney-vs-obama,2012,maryland,15852,YouGov,2012-10-04,2012-10-11,Likely Voters,498,Internet,Nonpartisan,None,26,2012_15852_maryland,Obama,58,Democrat
2012-maryland-president-romney-vs-obama,2012,maryland,15852,YouGov,2012-10-04,2012-10-11,Likely Voters,498,Internet,Nonpartisan,None,26,2012_15852_maryland,Romney,37,Republican
2012-maryland-president-romney-vs-obama,2012,maryland,15852,YouGov,2012-10-04,2012-10-11,Likely Voters,498,Internet,Nonpartisan,None,26,2012_15852_maryland,Undecided,4,Undecided
2012-maryland-president-romney-vs-obama,2012,maryland,15852,YouGov,2012-10-04,2012-10-11,Likely Voters,498,Internet,Nonpartisan,None,26,2012_15852_maryland,Other,2,Other
2012-maryland-president-romney-vs-obama,2012,maryland,15463,Baltimore Sun/OpinionWorks,2012-09-25,2012-09-27,Likely Voters,804,Live Phone,Nonpartisan,None,40,2012_15463_maryland,Obama,57,Democrat
2012-maryland-president-romney-vs-obama,2012,maryland,15463,Baltimore Sun/OpinionWorks,2012-09-25,2012-09-27,Likely Voters,804,Live Phone,Nonpartisan,None,40,2012_15463_maryland,Romney,34,Republican
