poll_info,year,state,Obama,Romney,Undecided,Other,poll_id,pollster,start_date,end_date,sample_subpopulation,sample_size,mode,partisanship,partisan_affiliation,days_to_election,poll_key
2012-texas-president-romney-vs-obama,2012,texas,35,55,NA,NA,13863,YouGov/U of Texas/Texas Tribune,2012-05-07,2012-05-13,Likely Voters,511,Internet,Nonpartisan,None,177,2012_13863_texas
2012-texas-president-romney-vs-obama,2012,texas,43,50,7,NA,13603,PPP (D),2012-04-19,2012-04-22,Likely Voters,591,Automated Phone,Pollster,Dem,198,2012_13603_texas
2012-texas-president-romney-vs-obama,2012,texas,36,49,NA,NA,13457,U of Texas/Texas Tribune,2012-02-08,2012-02-15,Likely Voters,529,Internet,Nonpartisan,None,265,2012_13457_texas
2012-texas-president-romney-vs-obama,2012,texas,42,49,9,NA,12647,PPP (D),2012-01-12,2012-01-15,Likely Voters,700,Automated Phone,Pollster,Dem,296,2012_12647_texas
2012-tennessee-president-romney-vs-obama,2012,tennessee,42,53,3,2,16594,YouGov,2012-10-31,2012-11-03,Likely Voters,697,Internet,Nonpartisan,None,3,2012_16594_tennessee
2012-tennessee-president-romney-vs-obama,2012,tennessee,34,59,6,1,16330,MTSU,2012-10-16,2012-10-21,Likely Voters,609,Live Phone,Nonpartisan,None,16,2012_16330_tennessee
2012-tennessee-president-romney-vs-obama,2012,tennessee,43,52,4,2,15871,YouGov,2012-10-04,2012-10-11,Likely Voters,484,Internet,Nonpartisan,None,26,2012_15871_tennessee
2012-tennessee-president-romney-vs-obama,2012,tennessee,42,50,4,4,15226,YouGov,2012-09-07,2012-09-14,Likely Voters,694,Internet,Nonpartisan,None,53,2012_15226_tennessee
2012-tennessee-president-romney-vs-obama,2012,tennessee,40,47,NA,NA,13845,Vanderbit/PSRA,2012-05-02,2012-05-09,Registered Voters,826,Live Phone,Nonpartisan,None,181,2012_13845_tennessee
2012-tennessee-president-romney-vs-obama,2012,tennessee,41,47,NA,NA,13087,MTSU,2012-02-13,2012-02-25,Likely Voters,416,Live Phone,Nonpartisan,None,255,2012_13087_tennessee
2012-tennessee-president-romney-vs-obama,2012,tennessee,39,42,7,NA,13125,Vanderbit/PSRA,2012-02-16,2012-02-22,Registered Voters,1508,Live Phone,Nonpartisan,None,258,2012_13125_tennessee
2012-tennessee-president-romney-vs-obama,2012,tennessee,29,44,NA,NA,12578,MTSU,2011-10-03,2011-10-14,Adults,640,Live Phone,Nonpartisan,None,389,2012_12578_tennessee
2012-south-dakota-president-romney-vs-obama,2012,south-dakota,41,53,6,NA,16663,Nielson Brothers,2012-10-31,2012-11-04,Likely Voters,617,Automated Phone,Nonpartisan,None,2,2012_16663_south-dakota
2012-south-dakota-president-romney-vs-obama,2012,south-dakota,42,50,8,NA,16499,Nielson Brothers,2012-10-28,2012-10-31,Likely Voters,777,Automated Phone,Nonpartisan,None,6,2012_16499_south-dakota
2012-south-dakota-president-romney-vs-obama,2012,south-dakota,41,52,7,NA,15753,Nielson Brothers,2012-10-01,2012-10-05,Likely Voters,749,Automated Phone,Nonpartisan,None,32,2012_15753_south-dakota
2012-south-dakota-president-romney-vs-obama,2012,south-dakota,39,54,7,NA,15249,Nielson Brothers,2012-08-29,2012-09-06,Likely Voters,512,Automated Phone,Nonpartisan,None,61,2012_15249_south-dakota
2012-south-dakota-president-romney-vs-obama,2012,south-dakota,43,49,8,NA,14558,Nielson Brothers,2012-07-19,2012-07-23,Registered Voters,546,Automated Phone,Nonpartisan,None,106,2012_14558_south-dakota
2012-south-dakota-president-romney-vs-obama,2012,south-dakota,35,44,21,NA,13456,Nielson Brothers,2012-02-15,2012-02-17,Registered Voters,559,Automated Phone,Nonpartisan,None,263,2012_13456_south-dakota
2012-south-carolina-president-romney-vs-obama,2012,south-carolina,40,46,NA,NA,12475,Ipsos/Reuters (Internet),2012-01-10,2012-01-13,Registered Voters,995,Internet,Nonpartisan,None,298,2012_12475_south-carolina
2012-south-carolina-president-romney-vs-obama,2012,south-carolina,45,42,13,NA,12565,Marist College,2011-12-04,2011-12-06,Likely Voters,2107,Live Phone,Nonpartisan,None,336,2012_12565_south-carolina
2012-south-carolina-president-romney-vs-obama,2012,south-carolina,40,46,14,NA,12566,Marist College,2011-10-11,2011-10-13,Likely Voters,2131,Live Phone,Nonpartisan,None,390,2012_12566_south-carolina
2012-oregon-president-romney-vs-obama,2012,oregon,52,46,3,NA,16491,PPP (D),2012-10-31,2012-11-01,Likely Voters,921,Automated Phone,Pollster,Dem,5,2012_16491_oregon
2012-oregon-president-romney-vs-obama,2012,oregon,47,41,9,NA,16315,Elway/Oregonian,2012-10-25,2012-10-28,Likely Voters,405,Live Phone,Nonpartisan,None,9,2012_16315_oregon
2012-oregon-president-romney-vs-obama,2012,oregon,47,42,12,NA,16329,Hoffman Research (R),2012-10-24,2012-10-25,Likely Voters,615,Live Phone,Pollster,Rep,12,2012_16329_oregon
2012-oregon-president-romney-vs-obama,2012,oregon,49,42,5,NA,15941,SurveyUSA,2012-10-16,2012-10-18,Likely Voters,579,IVR/Online,Nonpartisan,None,19,2012_15941_oregon
2012-oregon-president-romney-vs-obama,2012,oregon,50,41,5,NA,15097,SurveyUSA,2012-09-10,2012-09-13,Likely Voters,552,IVR/Online,Nonpartisan,None,54,2012_15097_oregon
2012-oregon-president-romney-vs-obama,2012,oregon,50,42,8,NA,14185,PPP (D),2012-06-21,2012-06-24,Likely Voters,686,Automated Phone,Pollster,Dem,135,2012_14185_oregon
2012-oregon-president-romney-vs-obama,2012,oregon,47,43,10,NA,13744,SurveyUSA,2012-05-07,2012-05-10,Registered Voters,1468,IVR/Online,Nonpartisan,None,180,2012_13744_oregon
2012-oregon-president-romney-vs-obama,2012,oregon,50,39,11,NA,13294,SurveyUSA,2012-03-14,2012-03-19,Likely Voters,1615,IVR/Online,Nonpartisan,None,232,2012_13294_oregon
2012-new-york-president-romney-vs-obama,2012,new-york,59,36,3,2,16579,YouGov,2012-10-31,2012-11-03,Likely Voters,1430,Internet,Nonpartisan,None,3,2012_16579_new-york
2012-new-york-president-romney-vs-obama,2012,new-york,62,33,2,4,16219,SurveyUSA,2012-10-23,2012-10-25,Likely Voters,554,IVR/Online,Nonpartisan,None,12,2012_16219_new-york
2012-new-york-president-romney-vs-obama,2012,new-york,59,35,6,NA,16188,Siena,2012-10-22,2012-10-24,Likely Voters,750,Live Phone,Nonpartisan,None,13,2012_16188_new-york
2012-new-york-president-romney-vs-obama,2012,new-york,61,35,3,1,16137,Marist,2012-10-18,2012-10-21,Likely Voters,565,Live Phone,Nonpartisan,None,16,2012_16137_new-york
2012-new-york-president-romney-vs-obama,2012,new-york,59,35,4,2,15856,YouGov,2012-10-04,2012-10-11,Likely Voters,1403,Internet,Nonpartisan,None,26,2012_15856_new-york
2012-new-york-president-romney-vs-obama,2012,new-york,58,36,4,2,15227,YouGov,2012-09-07,2012-09-14,Likely Voters,1403,Internet,Nonpartisan,None,53,2012_15227_new-york
2012-new-york-president-romney-vs-obama,2012,new-york,62,34,2,1,14998,Quinnipiac,2012-09-04,2012-09-12,Likely Voters,1486,Live Phone,Nonpartisan,None,55,2012_14998_new-york
2012-new-york-president-romney-vs-obama,2012,new-york,62,33,5,NA,14726,Siena,2012-08-14,2012-08-19,Likely Voters,671,Live Phone,Nonpartisan,None,79,2012_14726_new-york
2012-new-york-president-romney-vs-obama,2012,new-york,55,32,10,2,14440,Quinnipiac,2012-07-17,2012-07-23,Registered Voters,1779,Live Phone,Nonpartisan,None,106,2012_14440_new-york
2012-new-york-president-romney-vs-obama,2012,new-york,61,34,5,NA,14362,Siena,2012-07-10,2012-07-15,Registered Voters,758,Live Phone,Nonpartisan,None,114,2012_14362_new-york
