poll_info,Obama,Romney,Undecided,Other,poll_id,pollster,start_date,end_date,sample_subpopulation,sample_size,mode,partisanship,partisan_affiliation
2012-new-york-president-romney-vs-obama,58,35,7,Not included in poll,13455,Marist,2012-01-18,2012-01-19,Registered Voters,554,Live Phone,Nonpartisan,None
2012-new-jersey-president-romney-vs-obama,53,41,4,2,16587,YouGov,2012-10-31,2012-11-03,Likely Voters,987,Internet,Nonpartisan,None
2012-new-jersey-president-romney-vs-obama,51,41,8,Not included in poll,16213,Philadelphia Inquirer/National Research (R)/GSG (D),2012-10-23,2012-10-25,Likely Voters,601,Live Phone,Nonpartisan,None
2012-new-jersey-president-romney-vs-obama,54,40,4,2,15975,SurveyUSA,2012-10-17,2012-10-18,Registered Voters,577,IVR/Online,Nonpartisan,None
2012-new-jersey-president-romney-vs-obama,53,38,,Not included in poll,15982,Stockton,2012-10-12,2012-10-18,Likely Voters,811,Live Phone,Nonpartisan,None
2012-new-jersey-president-romney-vs-obama,48,41,,Not included in poll,15870,Neighborhood (R-AFP),2012-10-10,2012-10-14,Likely Voters,783,Live Phone,Sponsor,Rep
2012-new-jersey-president-romney-vs-obama,51,43,5,1,15819,Quinnipiac,2012-10-10,2012-10-14,Likely Voters,1319,Live Phone,Nonpartisan,None
2012-new-jersey-president-romney-vs-obama,54,41,3,2,15846,YouGov,2012-10-04,2012-10-11,Likely Voters,770,Internet,Nonpartisan,None
2012-new-jersey-president-romney-vs-obama,51,40,10,Not included in poll,15691,Philadelphia Inquirer/National Research (R)/GSG (D),2012-10-04,2012-10-08,Likely Voters,604,Live Phone,Nonpartisan,None
2012-new-jersey-president-romney-vs-obama,56,39,4,2,15491,Rutgers-Eagleton,2012-09-27,2012-09-30,Likely Voters,645,Live Phone,Nonpartisan,None
2012-new-jersey-president-romney-vs-obama,52,37,10,1,15299,Monmouth University/Asbury Park Press,2012-09-19,2012-09-23,Likely Voters,613,Live Phone,Nonpartisan,None
2012-new-jersey-president-romney-vs-obama,52,40,4,3,15195,YouGov,2012-09-07,2012-09-14,Likely Voters,1040,Internet,Nonpartisan,None
2012-new-jersey-president-romney-vs-obama,51,37,12,Not included in poll,15075,Philadelphia Inquirer/National Research (R)/GSG (D),2012-09-09,2012-09-12,Likely Voters,600,Live Phone,Nonpartisan,None
2012-new-jersey-president-romney-vs-obama,52,38,9,1,15035,Fairleigh Dickinson,2012-09-06,2012-09-12,Likely Voters,706,Live Phone,Nonpartisan,None
2012-new-jersey-president-romney-vs-obama,51,44,4,1,14902,Quinnipiac,2012-08-27,2012-09-02,Likely Voters,1471,Live Phone,Nonpartisan,None
2012-new-jersey-president-romney-vs-obama,51,37,5,6,14821,Rutgers-Eagleton,2012-08-23,2012-08-25,Likely Voters,710,Live Phone,Nonpartisan,None
2012-new-jersey-president-romney-vs-obama,49,36,15,Not included in poll,14543,Fairleigh Dickinson,2012-07-23,2012-07-29,Registered Voters,945,Live Phone,Nonpartisan,None
2012-new-jersey-president-romney-vs-obama,50,42,6,1,14456,Monmouth University/Asbury Park Press,2012-07-18,2012-07-22,Likely Voters,535,Live Phone,Nonpartisan,None
2012-new-jersey-president-romney-vs-obama,49,38,11,2,14371,Quinnipiac,2012-07-09,2012-07-15,Registered Voters,1623,Live Phone,Nonpartisan,None
2012-new-jersey-president-romney-vs-obama,56,33,9,3,14088,Rutgers-Eagleton,2012-05-31,2012-06-04,Registered Voters,1065,Live Phone,Nonpartisan,None
2012-new-jersey-president-romney-vs-obama,49,39,10,2,13812,Quinnipiac,2012-05-09,2012-05-14,Registered Voters,1582,Live Phone,Nonpartisan,None
2012-new-jersey-president-romney-vs-obama,50,36,14,Not included in poll,13726,Fairleigh Dickinson,2012-04-30,2012-05-06,Registered Voters,797,Live Phone,Nonpartisan,None
2012-new-jersey-president-romney-vs-obama,49,40,9,2,13518,Quinnipiac,2012-04-03,2012-04-09,Registered Voters,1607,Live Phone,Nonpartisan,None
2012-new-jersey-president-romney-vs-obama,50,37,13,Not included in poll,13453,Fairleigh Dickinson,2012-03-05,2012-03-11,Registered Voters,800,Live Phone,Nonpartisan,None
2012-new-jersey-president-romney-vs-obama,49,39,7,1,13086,Quinnipiac,2012-02-21,2012-02-27,Registered Voters,1396,Live Phone,Nonpartisan,None
2012-new-jersey-president-romney-vs-obama,52,38,10,Not included in poll,13085,SurveyUSA,2012-02-24,2012-02-26,Registered Voters,533,IVR/Online,Nonpartisan,None
2012-new-jersey-president-romney-vs-obama,56,31,13,Not included in poll,13088,Rutgers-Eagleton,2012-02-09,2012-02-11,Registered Voters,914,Live Phone,Nonpartisan,None
2012-new-jersey-president-romney-vs-obama,48,38,9,2,12499,Quinnipiac,2012-01-10,2012-01-16,Registered Voters,1460,Live Phone,Nonpartisan,None
2012-new-jersey-president-romney-vs-obama,51,32,,Not included in poll,12575,Rutgers-Eagleton,2011-12-15,2011-12-18,Registered Voters,823,Live Phone,Nonpartisan,None
2012-new-jersey-president-romney-vs-obama,49,40,7,2,12131,Quinnipiac,2011-11-09,2011-11-14,Registered Voters,1788,Live Phone,Nonpartisan,None
2012-new-jersey-president-romney-vs-obama,47,41,7,2,11959,Quinnipiac,2011-10-05,2011-10-10,Registered Voters,1186,Live Phone,Nonpartisan,None
2012-nebraska-president-romney-vs-obama,41,54,3,2,16457,We Ask America,2012-11-01,2012-11-01,Likely Voters,1178,Automated Phone,Nonpartisan,None
2012-nebraska-president-romney-vs-obama,39,58,,Not included in poll,16324,Pharos Research Group,2012-10-26,2012-10-28,Likely Voters,761,Live Phone,Nonpartisan,None
2012-nebraska-president-romney-vs-obama,38,52,,Not included in poll,16265,Wiese/Omaha World-Herald,2012-10-23,2012-10-25,Likely Voters,679,Live Phone,Nonpartisan,None
2012-nebraska-president-romney-vs-obama,41,51,,Not included in poll,16248,Pharos Research Group,2012-10-19,2012-10-21,Likely Voters,783,Live Phone,Nonpartisan,None
2012-nebraska-president-romney-vs-obama,39,53,6,2,15275,Wiese/Omaha World-Herald,2012-09-17,2012-09-20,Likely Voters,656,Live Phone,Nonpartisan,None
2012-nebraska-president-romney-vs-obama,39,53,3,6,13833,Rasmussen,2012-05-16,2012-05-16,Likely Voters,500,Automated Phone,Nonpartisan,None
2012-nebraska-president-romney-vs-obama,39,51,10,Not included in poll,13373,PPP (D),2012-03-22,2012-03-25,Likely Voters,1028,Automated Phone,Pollster,Dem
2012-nebraska-president-romney-vs-obama,35,52,3,10,13452,Rasmussen,2012-03-05,2012-03-05,Likely Voters,500,Automated Phone,Nonpartisan,None
